clg_name,rating,fees,pkg,STATE,CLG_ID
"Krishnasamy College of Engineering and Technology - [KCET], Cuddalore",5.7,50000,500000,AP,APKr5
"Anil Neerukonda Institute of Technology & Sciences - [ANITS], Visakhapatnam",5.8,76300,890000,AP,APAn5
"G. Pullaiah College of Engineering and Technology - [GPCET], Kurnool",6.3,48000,1175000,AP,APG.6
"Kalasalingam Institute of Technology - [KIT], Krishnankovil",6.4,200000,300000,AP,APKa6
"Lenora College of Engineering, East Godavari",6.5,35000,400000,AP,APLe6
"Godavari Institute of Engineering and Technology - [GIET] Rajahmundry, East Godavari",6.5,58700,303000,AP,APGo6
"Lendi Institute of Engineering and Technology, Vizianagaram",6.5,59900,5023000,AP,APLe6
"Vignan's Nirula Institute of Technology and Science for Women -[VNIW], Guntur",6.6,35000,180000,AP,APVi6
"Usha Rama College of Engineering and Technology - [URCE], Krishna",6.8,55200,737000,AP,APUs6
"Raghu Institute of Technology - [RIT], Visakhapatnam",6.8,61000,1200000,AP,APRa6
"Sri Vasavi Institute of Engineering and Technology - [SVIET], Krishna",6.9,30200,1200000,AP,APSr6
"Chalapathi Institute of Technology - [CIT], Guntur",7.0,35000,360000,AP,APCh7
"Anantha Lakshmi Institute of Technology and Sciences - [ALITS], Anantapur",7.0,50200,400000,AP,APAn7
"Kalasalingam Academy of Research and Education, Krishnankovil",7.0,120600,300000,AP,APKa7
"GITAM School of Technology, Visakhapatnam",7.0,346000,1300000,AP,APGI7
"Amrita Sai Institute of Science and Technology - [ASIST], Krishna",7.1,35000,1500000,AP,APAm7
"Sri Mittapalli College of Engineering, Guntur",7.1,41600,550000,AP,APSr7
"Sri Krishna Institute of Technology - [SKIT], Bangalore",7.1,45000,1000000,AP,APSr7
"MVR College of Engineering and Technology - [MVRCET], Krishna",7.1,64800,170000,AP,APMV7
"GIET Engineering College, Rajahmundhry, East Godavari",7.2,65000,610000,AP,APGI7
"Government College of Engineering, Bargur - [GCE], Krishnagiri",7.3,50000,1260000,AP,APGo7
"Sri Mittapalli Institute of Technology for Women - [SMITW], Guntur",7.3,52400,360000,AP,APSr7
"Krishna Group of Institutions, Kanpur",7.3,65000,480000,AP,APKr7
"Annamacharya Institute of Technology and Sciences, Kadapa",7.3,68700,3175000,AP,APAn7
"Teegala Krishna Reddy Engineering College, Hyderabad",7.3,80000,1600000,AP,APTe7
"GITAM, Visakhapatnam",7.3,245000,5263000,AP,APGI7
"Srinivasa Ramanujan Institute of Technology - [SRIT], Anantapur",7.4,50200,720000,AP,APSr7
"Prakasam Engineering College - [PEC], Prakasam",7.4,53850,360000,AP,APPr7
"GIET College of Engineering, Rajahmundhry, East Godavari",7.4,58700,3300000,AP,APGI7
"Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE], Vizianagaram",7.4,67700,2035000,AP,APMa7
"Jawaharlal Nehru Technological University - [JNTU], Anantapur",7.5,,470000,AP,APJa7
"JNTUA College of Engineering, Anantapur",7.5,25000,1472000,AP,APJN7
"BABA Institute of Technology and Sciences - [BITS-VIZAG], Visakhapatnam",7.5,30000,700000,AP,APBA7
"Aditya Institute of Technology and Management -[AITAM] Tekkali, Srikakulam",7.5,72000,400000,AP,APAd7
"Vemu Institute of Technology - [VEMU], Chittoor",7.6,35000,450000,AP,APVe7
