clg_name,rating,fees,pkg,STATE,CLG_ID
"Supaul College of Engineering - [SCE], Supaul",6.0,,1400000,BR,BRSu6
"Saharsa College of Engineering - [SCE], Saharsa",7.1,,450000,BR,BRSa7
"PES College of Engineering - [PESCOE], Aurangabad",7.2,87054,450000,BR,BRPE7
"Gaya College of Engineering, Gaya",7.2,100000,4060000,BR,BRGa7
"GS Mandal's Marathwada Institute of Technology - [MIT], Aurangabad",7.2,101000,700000,BR,BRGS7
"Jawaharlal Nehru Engineering College - [JNEC], Aurangabad",7.2,169000,1600000,BR,BRJa7
"Nalanda Institute of Technology - [NIT], Bhubaneswar",7.3,86500,1500000,BR,BRNa7
"Sityog Institute of Technology, Aurangabad",7.3,111000,1000000,BR,BRSi7
"Birla Institute of Technology - [BIT], Patna",7.3,295000,900000,BR,BRBi7
"Maharashtra Institute of Technology - [MIT], Aurangabad",7.5,101200,3100000,BR,BRMa7
"Biju Patnaik University of Technology - [BPUT], Rourkela",7.5,235000,1600000,BR,BRBi7
"Aryabhatta Knowledge University - [AKU], Patna",7.6,,2743000,BR,BRAr7
"Aurangabad College of Engineering - [ACE], Aurangabad",7.6,60500,260000,BR,BRAu7
"Bhagalpur College of Engineering - [BCE], Bhagalpur",7.6,112500,650000,BR,BRBh7
"Government College of Engineering - [GECA], Aurangabad",7.7,65839,540000,BR,BRGo7
"Gayatri Vidya Parishad College of Engineering For Women - [GVPW], Visakhapatnam",7.7,97600,500000,BR,BRGa7
"Netaji Subhas Institute of Technology - [NSIT], Patna",7.7,108300,1200000,BR,BRNe7
"National Institute of Electronics and Information Technology - [NIELIT], Aurangabad",7.8,83250,500000,BR,BRNa7
"Amity University, Patna",7.8,159000,4000000,BR,BRAm7
"Katihar Engineering College - [KEC], Katihar",7.9,,1240000,BR,BRKa7
"Muzaffarpur Institute of Technology - [MIT], Muzaffarpur",7.9,100000,423000,BR,BRMu7
"National Institute of Technology - [NITP], Patna",7.9,165700,4150000,BR,BRNa7
"Saranathan College of Engineering - [SCE], Tiruchirappalli",8.0,65000,700000,BR,BRSa8
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",8.0,69000,900000,BR,BRGa8
"Bakhtiyarpur College of Engineering - [BCE], Patna",8.2,,4400000,BR,BRBa8
"Darbhanga College of Engineering - [DCE], Darbhanga",8.2,29130,400000,BR,BRDa8
"Government Engineering College - [GEC], Gopalganj",8.5,100000,560000,BR,BRGo8
"IIT Patna - Indian Institute of Technology - [IITP], Patna",8.5,270250,12000000,BR,BRII8
"Nalanda College of Engineering - [NCE], Chandi",8.7,12920,364000,BR,BRNa8
