clg_name,rating,fees,pkg,STATE,CLG_ID
"Shri Rawatpura Sarkar University - [SRU], Raipur",6.6,45200,2000000,CH,CHSh6
"Dr. C.V. Raman University - [CVRU], Bilaspur",6.9,50700,1150000,CH,CHDr6
"Dr. B.C. Roy Engineering College - [BCREC], Durgapur",7.1,108980,435000,CH,CHDr7
"Bhilai Institute of Technology - [BIT], Durg",7.3,81400,1000000,CH,CHBh7
"MATS University, Raipur",7.6,72000,450000,CH,CHMA7
"Chouksey Engineering College - [CEC], Bilaspur",7.7,60000,480000,CH,CHCh7
"Government Engineering College - [GEC], Raipur",7.7,82780,203000,CH,CHGo7
"Amity University, Raipur",7.7,86000,1358000,CH,CHAm7
"National Institute of Technology - [NIT], Raipur",7.7,140600,7400000,CH,CHNa7
"Bhilai Institute of Technology - [BITR], Raipur",7.9,79214,870000,CH,CHBh7
"OP Jindal University - [OPJU], Raigarh",7.9,135000,320000,CH,CHOP7
"Raipur Institute of Technology - [RITEE], Raipur",7.9,304000,350000,CH,CHRa7
"Columbia Institute of Engineering and Technology - [CIET], Raipur",8.0,,850000,CH,CHCo8
"Govt Engineering College, Bilaspur",8.0,12725,1200000,CH,CHGo8
"Lakhmi Chand Institute of Technology - [LCIT], Bilaspur",8.0,68000,797000,CH,CHLa8
"Bengal College of Engineering and Technology - [BCET], Durgapur",8.0,86900,1500000,CH,CHBe8
"Shri Shankaracharya Institute of Professional Management and Technology - [SSIPMT], Raipur",8.2,72230,240000,CH,CHSh8
"Chhatrapati Shivaji Institute of Technology - [CSIT], Durg",8.3,75000,1200000,CH,CHCh8
"International Institute of Information Technology - [IIIT] Naya Raipur, Raipur",8.4,180150,1000000,CH,CHIn8
"Bengal College of Engineering - [BCE], Durgapur",8.6,98500,340000,CH,CHBe8
"National Institute of Technology - [NIT], Durgapur",8.6,186100,4000000,CH,CHNa8
"Chhattisgarh Engineering College - [CEC], Durg",8.8,60000,360000,CH,CHCh8
"ICFAI University, Raipur",8.9,100000,800000,CH,CHIC8
"Yadavrao Tasgaonkar Institute of Engineering and Technology - [YTIET], Raigarh",9.3,66000,2516000,CH,CHYa9
