clg_name,rating,fees,pkg,STATE,CLG_ID
"Delhi Institute of Engineering and Technology - [DIET], Meerut",5.4,55000,300000,DL,DLDe5
"Amity School of Engineering & Technology - [ASET], New Delhi",6.7,,325000,DL,DLAm6
"Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM], New Delhi",7.1,118800,3800000,DL,DLDr7
"Delhi Technical Campus - [DTC], Greater Noida",7.1,124250,1000000,DL,DLDe7
"National Institute of Technology - [NIT], New Delhi",7.3,178200,360000,DL,DLNa7
"Maharaja Surajmal Institute of Technology - [MSIT], New Delhi",7.4,156300,630000,DL,DLMa7
"SRMIST Delhi NCR Campus, Ghaziabad",7.4,221000,650000,DL,DLSR7
"Netaji Subhas University of Technology - [NSUT], New Delhi",7.4,229000,4000000,DL,DLNe7
"Bhagwan Parshuram Institute of Technology - [BPIT], New Delhi",7.5,97800,350000,DL,DLBh7
"Bharati Vidyapeeth's College of Engineering - [BVCOE], New Delhi",7.5,130200,7000000,DL,DLBh7
"Guru Tegh Bahadur Institute of Technology - [GTBIT], New Delhi",7.5,142800,1356000,DL,DLGu7
"Maharaja Agrasen Institute of Technology - [MAIT], New Delhi",7.5,143200,3500000,DL,DLMa7
"Guru Gobind Singh Indraprastha University - [GGSIPU], New Delhi",7.6,132000,3200000,DL,DLGu7
"Indira Gandhi Delhi Technical University For Women -[IGDTUW], New Delhi",7.8,88000,1400000,DL,DLIn7
"SRM University Delhi NCR, Sonepat",7.9,216000,2000000,DL,DLSR7
"HMR Institute of Technology & Management - [HMRITM], New Delhi",8.0,115800,3200000,DL,DLHM8
"Delhi Technical Campus - [DTC], Jhajjar",8.1,69500,1150000,DL,DLDe8
"Ganga Group of Institutions - [GGI], New Delhi",8.1,78000,1100000,DL,DLGa8
"Delhi Institute of Tool Engineering - [DITE], New Delhi",8.2,,500000,DL,DLDe8
"Jamia Millia Islamia University-[JMI], New Delhi",8.2,16150,1701000,DL,DLJa8
"Delhi Technological University - [DTU], New Delhi",8.2,219000,1750000,DL,DLDe8
"GB Pant Delhi Skill and Entrepreneurship University, Okhla-I Campus, New Delhi",8.3,40000,2400000,DL,DLGB8
"Delhi Engineering College, Faridabad",8.3,75000,400000,DL,DLDe8
"University School of Information, Communication and Technology - [USICT], New Delhi",8.3,102000,450000,DL,DLUn8
"Indraprastha Institute of Technology and Management - [IITM], New Delhi",8.3,125000,625000,DL,DLIn8
"IIT Delhi - Indian Institute of Technology [IITD], New Delhi",8.7,254650,19800000,DL,DLII8
"Indraprastha Institute of Information Technology - [IIITD], New Delhi",8.7,462000,2249000,DL,DLIn8
