clg_name,rating,fees,pkg,STATE,CLG_ID
"Sardar Raja College of Engineering - [SRCE], Tirunelveli",4.3,50000,1200000,TN,TNSa4
"Sudharsan Engineering College - [SEC], Pudukkottai",4.4,55000,2000000,TN,TNSu4
"Nandha College of Technology - [NCT], Erode",5.1,50000,800000,TN,TNNa5
"KSR College of Engineering, Namakkal",5.4,60000,500000,TN,TNKS5
"Arulmigu Meenakshi Amman College of Engineering - [AMACE], Kanchipuram",5.4,160000,1800000,TN,TNAr5
"Anna University of Technology, Madurai",5.5,43810,600000,TN,TNAn5
"Krishnasamy College of Engineering and Technology - [KCET], Cuddalore",5.7,50000,500000,TN,TNKr5
"Alpha College of Engineering, Chennai",5.7,50000,1450000,TN,TNAl5
"Bharathidasan Engineering College - [BEC], Vellore",5.7,55000,280000,TN,TNBh5
"Tamilnadu College of Engineering - [TNCE], Coimbatore",5.7,200000,466000,TN,TNTa5
"The Kavery College of Engineering - [KCE], Salem",6.0,60000,220000,TN,TNTh6
"Pavai College of Technology - [PCT], Namakkal",6.2,40000,360000,TN,TNPa6
"V V College of Engineering, Tirunelveli",6.4,30000,360000,TN,TNV 6
"Velalar College of Engineering and Technology -[VCET], Erode",6.5,50000,411000,TN,TNVe6
"Arunai Engineering College - [AEC], Tiruvannamalai",6.5,50000,850000,TN,TNAr6
"Excel College of Engineering and Technology, Namakkal",6.5,55000,350000,TN,TNEx6
"Hindusthan Institute of Technology - [HITECH], Coimbatore",6.6,125000,400000,TN,TNHi6
"Dhanalakshmi College of Engineering - [DCE], Chennai",6.6,200000,600000,TN,TNDh6
"Hindustan Institute of Technology and Science - [HITS], Chennai",6.6,229500,5300000,TN,TNHi6
"Anna University of Technology, Tirunelveli",6.7,43810,1600000,TN,TNAn6
"Arignar Anna Institute of Science and Technology, Chennai",6.7,55000,1650000,TN,TNAr6
"Al Ameen Engineering College, Erode",6.8,25000,816000,TN,TNAl6
"Cheran College of Engineering, Karur",6.8,50000,450000,TN,TNCh6
"Mohamed Sathak Engineering College - [MSEC], Ramanathapuram",6.8,60000,800000,TN,TNMo6
"Indian Institute of Handloom Technology - [IIHT], Salem",6.9,,520000,TN,TNIn6
"SSM College of Engineering - [SSMCE], Namakkal",6.9,30000,394000,TN,TNSS6
"Jawahar Engineering College, Chennai",6.9,50000,240000,TN,TNJa6
"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Chennai",6.9,55000,1400000,TN,TNVe6
"Akshaya College of Engineering and Technology-[ACET], Coimbatore",6.9,65000,300000,TN,TNAk6
"Ranganathan Engineering College - [REC], Coimbatore",7.0,60000,1200000,TN,TNRa7
"Mahendra Institute of Technology - [MIT], Namakkal",7.0,200000,400000,TN,TNMa7
"Rajalakshmi Engineering College - [REC], Chennai",7.1,50000,4400000,TN,TNRa7
"Mookambigai College of Engineering, Pudukkottai",7.1,50000,230000,TN,TNMo7
"Government College of Engineering - [GCES] Srirangam, Tiruchirappalli",7.1,50000,1200000,TN,TNGo7
"RRASE College of Engineering, Chennai",7.1,50000,200000,TN,TNRR7
"Sri Lakshmi Ammal Engineering College - [SLAEC], Chennai",7.1,50000,360000,TN,TNSr7
"CK College of Engineering and Technology - [CKCET], Cuddalore",7.1,50000,325000,TN,TNCK7
"Pallavan College of Engineering - [PCE], Kanchipuram",7.1,55000,385000,TN,TNPa7
"A.V.C College of Engineering - [AVCCE], Nagapattinam",7.1,55500,5000000,TN,TNA.7
"Shivani Engineering College - [SEC], Tiruchirappalli",7.1,56500,1000000,TN,TNSh7
"AVS Engineering College - [AVSEC], Salem",7.1,70000,7000000,TN,TNAV7
