clg_name,rating,fees,pkg,STATE,CLG_ID
"Saffrony Institute of Technology & S.P.B. Patel Engineering College, Ahmedabad",4.7,81150,300000,GJ,GJSa4
"Government Engineering College - [GEC], Rajkot",5.1,1500,2200000,GJ,GJGo5
"Amiraj College of Engineering and Technology- [ACET], Ahmedabad",5.4,30000,300000,GJ,GJAm5
"KJ Institute of Engineering and Technology - [KJIT], Vadodara",5.5,60000,540000,GJ,GJKJ5
"Government Engineering College, Valsad",6.0,1500,500000,GJ,GJGo6
"Parul Institute of Engineering and Technology - [PIET], Vadodara",6.0,90300,320000,GJ,GJPa6
"Dr. Subhash University, Junagadh",6.3,77175,450000,GJ,GJDr6
"Government Engineering College, Patan",6.6,1500,330000,GJ,GJGo6
"Government Engineering College -[GEC], Gandhinagar",6.6,18000,500000,GJ,GJGo6
"Anand International College of Engineering, Jaipur",6.6,85000,1000000,GJ,GJAn6
"Drs. Kiran and Pallavi Patel Global University, Vadodara",6.7,117600,526000,GJ,GJDr6
"Om Engineering College - [OEC], Junagadh",7.1,67000,1300000,GJ,GJOm7
"Anand Institute of Higher Technology - [AIHT], Chennai",7.2,50000,1250000,GJ,GJAn7
"L.J. Institute of Engineering and Technology - [LJIET], Ahmedabad",7.2,73000,1000000,GJ,GJL.7
"Universal College of Engineering and Technology - [UCET], Gandhinagar",7.3,,480000,GJ,GJUn7
"Ahmedabad Institute of Technology, Ahmedabad",7.3,71000,1500000,GJ,GJAh7
"Institute of Infrastructure Technology Research and Management - [IITRAM], Ahmedabad",7.3,89500,850000,GJ,GJIn7
"Shah and Anchor Kutchhi Engineering College - [SAKEC], Mumbai",7.3,133263,507000,GJ,GJSh7
"Government Engineering College - [GEC], Bhavnagar",7.4,1500,1500000,GJ,GJGo7
"Shantilal Shah Engineering College - [SSEC], Bhavnagar",7.4,2800,650000,GJ,GJSh7
"Charotar University of Science and Technology - [CHARUSAT], Anand",7.4,128000,1000000,GJ,GJCh7
"Adani Institute of Infrastructure Engineering - [AIIE], Ahmedabad",7.4,165000,420000,GJ,GJAd7
"Madhuben & Bhanubhai Patel Institute of Technology - [MBPIT], Anand",7.5,71000,1240000,GJ,GJMa7
"VVP Engineering College - [VVPEC], Rajkot",7.5,93000,400000,GJ,GJVV7
"Sarvajanik College of Engineering and Technology - [SCET], Surat",7.5,118000,700000,GJ,GJSa7
"Gujarat Power Engineering and Research Institute - [GPERI], Mehsana",7.6,40000,500000,GJ,GJGu7
"Vadodara Institute of Engineering, Vadodara",7.6,61000,375000,GJ,GJVa7
"Shree Swaminarayan Institute of Technology- [SSIT], Gandhinagar",7.6,61000,255108,GJ,GJSh7
"Anand Engineering College - [AEC], Agra",7.6,117625,3600000,GJ,GJAn7
"Central Institute of Petrochemicals Engineering & Technology - [CIPET], Ahmedabad",7.7,65000,1500000,GJ,GJCe7
"Shri S'ad Vidya Mandal Institute of Technology - [SVMIT], Surat",7.7,70000,1000000,GJ,GJSh7
"Laxmi Institute of Technology - [LIT], Valsad",7.7,72000,5800000,GJ,GJLa7
"Silver Oak College of Engineering and Technology - [SOCET], Ahmedabad",7.7,78000,320000,GJ,GJSi7
"Navrachana University - [NUV], Vadodara",7.7,114000,6000000,GJ,GJNa7
"Rai University - [RU], Ahmedabad",7.8,71600,520000,GJ,GJRa7
"SAL College of Engineering - [SCE], Ahmedabad",7.8,74000,580000,GJ,GJSA7
"Indian Institute of Information Technology Vadodara - [IIIT-V], Gandhinagar",7.8,235720,512000,GJ,GJIn7
"Indus University, Ahmedabad",7.9,101000,650000,GJ,GJIn7
"LDRP Institute of Technology and Research - [LDRPITR], Gandhinagar",7.9,108000,2100000,GJ,GJLD7
"Vishwakarma Government Engineering College - [VGEC], Ahmedabad",8.0,1500,700000,GJ,GJVi8
"Noble Group of Institution - [NGI], Junagadh",8.0,55000,350000,GJ,GJNo8
"Gandhinagar Institute of Technology - [GIT], Gandhinagar",8.0,62000,1000000,GJ,GJGa8
"ITM Vocational University - [ITMVU], Vadodara",8.0,69500,4500000,GJ,GJIT8
"Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad, Anand",8.0,74000,9000000,GJ,GJSa8
"ITM SLS Baroda University, Vadodara",8.0,98000,1200000,GJ,GJIT8
"Darshan University - [DU], Rajkot",8.0,160000,340000,GJ,GJDa8
"Sardar Vallabhbhai National Institute of Technology - [SVNIT], Surat",8.0,169000,760000,GJ,GJSa8
"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda, Vadodara",8.1,7640,2580000,GJ,GJFa8
"Hasmukh Goswami College of Engineering - [HGCE], Ahmedabad",8.1,61000,360000,GJ,GJHa8
"GLS University, Ahmedabad",8.1,100000,5400000,GJ,GJGL8
"GSFC University, Vadodara",8.1,116250,13000000,GJ,GJGS8
"Parul University, Vadodara",8.1,137800,36700000,GJ,GJPa8
"Pandit Deendayal Energy University - [PDEU], Gandhinagar",8.1,259000,1000000,GJ,GJPa8
"L.D. College of Engineering - [LDCE], Ahmedabad",8.3,800,650000,GJ,GJL.8
"Government Engineering College - [GEC], Banaskantha",8.3,1500,80000,GJ,GJGo8
"RK University - [RKU], Rajkot",8.3,76500,1800000,GJ,GJRK8
"Shree Swami Atmanand Saraswati Institute of Technology - [SSASIT], Surat",8.3,76500,1400000,GJ,GJSh8
"Marwadi University - [MU], Rajkot",8.3,115000,1660000,GJ,GJMa8
"Indian Institute of Information Technology - [IIIT], Surat",8.3,166000,11200000,GJ,GJIn8
"Institute of Technology, Nirma University, Ahmedabad",8.3,221200,850000,GJ,GJIn8
"Nirma University - [NU], Ahmedabad",8.3,221200,970000,GJ,GJNi8
"CEPT University, Ahmedabad",8.3,348800,500000,GJ,GJCE8
"Atmiya University, Rajkot",8.4,81000,4600000,GJ,GJAt8
"Karnavati University - [KU], Gandhinagar",8.4,107000,4300000,GJ,GJKa8
"Anant National University - [AnantU], Ahmedabad",8.4,290000,809000,GJ,GJAn8
"Government Engineering College - [GEC], Bharuch",8.5,1500,268000,GJ,GJGo8
"Balaji Engineering College, Junagadh",8.5,55000,850000,GJ,GJBa8
"National Institute of Technology - [NITK], Surathkal",8.5,157280,1110000,GJ,GJNa8
"Pandit Deendayal Energy University, School of Technology - [PDEU SOT], Gandhinagar",8.5,253000,400000,GJ,GJPa8
"Sigma Institute of Engineering, Vadodara",8.6,60000,350000,GJ,GJSi8
"Ganpat University - [GUNI], Mehsana",8.7,108000,1420000,GJ,GJGa8
"Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT], Gandhinagar",8.7,172000,700000,GJ,GJDh8
"IIT Gandhinagar - Indian Institute of Technology - [IITG], Gandhinagar",8.7,229426,6800000,GJ,GJII8
"Pacific School of Engineering - [PSE], Surat",9.0,52500,1202000,GJ,GJPa9
"P.P. Savani University, Surat",9.0,111500,1450000,GJ,GJP.9
