clg_name,rating,fees,pkg,STATE,CLG_ID
"IEC University Baddi - [ICEU], Solan",6.5,118600,2800000,HP,HPIE6
"Career Point University - [CPU], Hamirpur",6.8,105000,350000,HP,HPCa6
"Indus International University - [IIU], Una",6.8,110000,2100000,HP,HPIn6
"Dr. C.V. Raman University - [CVRU], Bilaspur",6.9,50700,1150000,HP,HPDr6
"Green Hills Engineering College, Solan",7.2,80700,600000,HP,HPGr7
"AP Goyal Shimla University, Shimla",7.5,141000,3000000,HP,HPAP7
"University Institute of Information Technology, Himachal Pradesh University - [UIIT], Shimla",7.6,122010,750000,HP,HPUn7
"Chouksey Engineering College - [CEC], Bilaspur",7.7,60000,480000,HP,HPCh7
"Arni University, Kangra",7.7,105000,1100000,HP,HPAr7
"Indian Institute of Information Technology - [IIIT], Una",7.7,245000,1200000,HP,HPIn7
"Rajiv Gandhi govt. Engineering college -[RGGEC], Kangra",7.9,61070,4200000,HP,HPRa7
"Govt Engineering College, Bilaspur",8.0,12725,1200000,HP,HPGo8
"Lakhmi Chand Institute of Technology - [LCIT], Bilaspur",8.0,68000,797000,HP,HPLa8
"Himachal Institute of Engineering and Technology - [HIET], Kangra",8.0,73000,790000,HP,HPHi8
"Eternal University - [EU], Sirmaur",8.0,118000,1000000,HP,HPEt8
"Jaypee University of Information Technology - [JUIT], Solan",8.0,241000,20200000,HP,HPJa8
"Bahra University - [BU], Solan",8.1,115000,3500000,HP,HPBa8
"National Institute of Technology - [NIT], Hamirpur",8.2,180200,1036000,HP,HPNa8
"IIT Mandi- Indian Institute of Technology - [IITM], Mandi",8.3,234750,1700000,HP,HPII8
"Maharaja Agrasen University - [MAU], Solan",8.5,120000,430000,HP,HPMa8
"Maharishi Markandeshwar - [MMU], Solan",8.5,148500,4415000,HP,HPMa8
"Shoolini University, Solan",8.5,235000,875000,HP,HPSh8
