clg_name,rating,fees,pkg,STATE,CLG_ID
"Rawal Institutions, Faridabad",6.6,70000,240000,HR,HRRa6
"Galaxy Global Group of Institutions - [GGGI], Ambala",6.8,72130,900000,HR,HRGa6
"Hindustan Institute of Technology and Management - [HITM], Ambala",6.8,75000,572000,HR,HRHi6
"Technology Education and Research Integrated Institute - [TERII], Kurukshetra",6.9,79500,650000,HR,HRTe6
"Panipat Institute of Engineering & Technology - [PIET], Panipat",6.9,154000,180000,HR,HRPa6
"Geeta University, Panipat",6.9,170000,800000,HR,HRGe6
"Samalkha Group of Institutions - [SGI], Panipat",7.3,79500,1000000,HR,HRSa7
"Lingaya's Vidyapeeth, Faridabad",7.3,167000,650000,HR,HRLi7
"University Institute of Engineering and Technology, Maharshi Dayanand University - [UIET], Rohtak",7.4,74288,350000,HR,HRUn7
"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET], Faridabad",7.4,196500,677000,HR,HRMa7
"J.C. Bose University Of Science And Technology, YMCA, Faridabad",7.5,102942,1500000,HR,HRJ.7
"Vaish College of Engineering, Rohtak",7.6,75540,1400000,HR,HRVa7
"University Institute of Engineering and Technology - [UIET], Kurukshetra",7.6,104900,1800000,HR,HRUn7
"Echelon Institute of Technology, Faridabad",7.8,88000,300000,HR,HREc7
"Manav Rachna International Institute of Research and Studies - [MRIIRS], Faridabad",7.8,181500,3850000,HR,HRMa7
"Al-Falah university - [AFU], Faridabad",7.9,85000,650000,HR,HRAl7
"OP Jindal University - [OPJU], Raigarh",7.9,135000,320000,HR,HROP7
"BRCM College of Engineering and Technology - [BRCMCET], Bhiwani",8.0,91400,1000000,HR,HRBR8
"Gurugram University, Gurgaon",8.1,40000,3000000,HR,HRGu8
"Delhi Technical Campus - [DTC], Jhajjar",8.1,69500,1150000,HR,HRDe8
"Modern Vidya Niketan - [MVN University], Palwal",8.2,128000,945000,HR,HRMo8
"National Institute of Technology - [NIT], Kurukshetra",8.2,159500,2140000,HR,HRNa8
"Delhi Engineering College, Faridabad",8.3,75000,400000,HR,HRDe8
"Geeta Engineering College - [GEC], Panipat",8.4,91000,450000,HR,HRGe8
"Manav Rachna University - [MRU], Faridabad",8.4,274500,300000,HR,HRMa8
"NIILM University, Kaithal",8.5,65000,500000,HR,HRNI8
"CBS Group of Institutions, Jhajjar",8.5,69800,1200000,HR,HRCB8
