clg_name,rating,fees,pkg,STATE,CLG_ID
"Amrutvahini College of Engineering - [AVCOE], Ahmednagar",5.5,120000,200000,MH,MHAm5
"AISSMS Institute of Information Technology, Pune",6.1,118751,4800000,MH,MHAI6
"ABMSP's Anantrao Pawar College of Engineering & Research - [APCOER], Pune",6.5,67000,600000,MH,MHAB6
"Nagpur Institute of Technology - [NIT], Nagpur",6.5,107000,2400000,MH,MHNa6
"Jayawantrao Sawant College of Engineering- [JSCOE], Pune",6.5,112500,4840000,MH,MHJa6
"Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon, Pune",6.5,138060,1200000,MH,MHSi6
"Arvind Gavali College of Engineering - [AGCE], Satara",6.6,72500,470000,MH,MHAr6
"PDEA College of Engineering Manjari, Pune",6.6,90000,1200000,MH,MHPD6
"MET Bhujbal Knowledge City, Nashik",6.7,100000,1200000,MH,MHME6
"Indira College of Engineering & Management - [ICEM], Pune",6.7,104000,1600000,MH,MHIn6
"SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala, Pune",6.7,125170,340000,MH,MHSK6
"Siddhant College of Engineering - [SCOE] Sudumbare, Pune",6.8,65000,300000,MH,MHSi6
"Brahmdevdada Mane Institute of Technology - [BMIT], Solapur",6.9,98000,1130000,MH,MHBr6
"Rajarshi Shahu College of Engineering - [RSCOE] Tathawade, Pune",6.9,113000,150000,MH,MHRa6
"Government College of Engineering - [GCE], Chandrapur",7.0,25293,290000,MH,MHGo7
"Pune Vidhyarthi Griha's College of Engineering and Technology - [PVGCOET], Pune",7.0,115397,500000,MH,MHPu7
"Theem College of Engineering - [TCOE], Palghar",7.1,64000,4400000,MH,MHTh7
"Jawaharlal Darda Institute of Engineering and Technology - [JDIET], Yavatmal",7.1,80000,6100000,MH,MHJa7
"A. P. Shah Institute of Technology - [APSIT], Thane",7.1,137706,1833000,MH,MHA.7
"Government College of Engineering - [GCOEA], Amravati",7.2,85160,450000,MH,MHGo7
"PES College of Engineering - [PESCOE], Aurangabad",7.2,87054,450000,MH,MHPE7
"Finolex Academy of Management and Technology - [FAMT], Ratnagiri",7.2,92000,425000,MH,MHFi7
"GS Mandal's Marathwada Institute of Technology - [MIT], Aurangabad",7.2,101000,700000,MH,MHGS7
"JD College of Engineering and Management, Nagpur",7.2,103000,950000,MH,MHJD7
"MVPS's Karmaveer Adv. Baburao Ganpatrao Thakare College of Engineering, Nashik",7.2,107285,3000000,MH,MHMV7
"Pravara Rural Engineering College - [PREC] Loni, Ahmednagar",7.2,113000,310000,MH,MHPr7
"Jawaharlal Nehru Engineering College - [JNEC], Aurangabad",7.2,169000,1600000,MH,MHJa7
"Walchand Institute of Technology - [WIT], Solapur",7.3,38848,200000,MH,MHWa7
"Alamuri Ratnamala Institute of Engineering and Technology - [ARMIET], Thane",7.3,88500,1000000,MH,MHAl7
"Sityog Institute of Technology, Aurangabad",7.3,111000,1000000,MH,MHSi7
"DY Patil College of Engineering and Technology - [DYPCET], Kolhapur",7.3,114085,350000,MH,MHDY7
"H.V.P.Mandal's College of Engineering & Technology, Amravati",7.4,80300,240000,MH,MHH.7
"Wainganga College of Engineering and Management - [WCEM], Nagpur",7.4,87000,400000,MH,MHWa7
"Shree LR Tiwari College of Engineering - [SLRTCE], Thane",7.4,90000,380000,MH,MHSh7
"Jhulelal Institute of Technology - [JIT], Nagpur",7.4,93500,450000,MH,MHJh7
"Nutan Maharashtra Institute of Engineering and Technology - [NMIET] Talegaon, Pune",7.4,97340,7700000,MH,MHNu7
"Shivajirao S Jondhale College of Engineering - [SSJCE], Thane",7.4,97380,450000,MH,MHSh7
"Dhole Patil College of Engineering - [DPCOE], Pune",7.4,104424,270000,MH,MHDh7
"JSPM Narhe Technical Campus - [JSPM NTC] Narhe, Pune",7.4,360000,540000,MH,MHJS7
"Sinhgad Academy of Engineering - [SAE] Kondhawa, Pune",7.5,97000,300000,MH,MHSi7
"Rajiv Gandhi College of Engineering and Research - [RGCER], Nagpur",7.5,100000,1000000,MH,MHRa7
"Maharashtra Institute of Technology - [MIT], Aurangabad",7.5,101200,3100000,MH,MHMa7
"KDK College of Engineering, Nagpur",7.5,107000,800000,MH,MHKD7
"Sanjivani College of Engineering Kopargaon, Ahmednagar",7.5,151002,1200000,MH,MHSa7
"MIT Academy of Engineering - [MITAOE], Pune",7.5,175737,1152000,MH,MHMI7
"Ajeenkya DY Patil University - [ADYPU], Pune",7.5,230000,1000000,MH,MHAj7
"Aurangabad College of Engineering - [ACE], Aurangabad",7.6,60500,260000,MH,MHAu7
"Gharda Institute of Technology-[GIT], Ratnagiri",7.6,69549,2936000,MH,MHGh7
"Sandip University, Nashik",7.6,75000,4400000,MH,MHSa7
"Sir Visvesvaraya Institute Of Technology - [SVIT] Chincholi, Nashik",7.6,91867,1250000,MH,MHSi7
"RMD Sinhgad School of Engineering -[RMDSSOE], Pune",7.6,96000,600000,MH,MHRM7
"Zeal Education Society's Zeal College of Engineering and Research - [ZCOER], Pune",7.6,110000,350000,MH,MHZe7
"International Institute of Information Technology - [I²IT], Pune",7.6,120079,1500000,MH,MHIn7
"Vidyavardhini's College of Engineering and Technology - [VCET], Palghar",7.6,121934,360000,MH,MHVi7
"Indian Institute of Information Technology - [IIIT], Nagpur",7.6,247000,1800000,MH,MHIn7
"Government College of Engineering - [GECA], Aurangabad",7.7,65839,540000,MH,MHGo7
"Bharati Vidyapeeth College of Engineering - [BVCOE], Kolhapur",7.7,82301,3300000,MH,MHBh7
"Government College of Engineering - [GCOE], Jalgaon",7.7,82956,1850000,MH,MHGo7
"Bapurao Deshmukh College of Engineering - [BDCE], Wardha",7.7,107000,250000,MH,MHBa7
"Priyadarshini Institute of Engineering and Technology - [PIET], Nagpur",7.7,108000,850000,MH,MHPr7
"D. Y. Patil College of Engineering, Pune",7.7,123998,150000,MH,MHD.7
"Rajarambapu Institute of Technology - [RIT], Sangli",7.7,140000,750000,MH,MHRa7
"Bharati Vidyapeeth Deemed University - [BVDU], Pune",7.7,157500,2130000,MH,MHBh7
"Genba Sopanrao Moze College of Engineering Balewadi, Pune",7.8,65000,580000,MH,MHGe7
"National Institute of Electronics and Information Technology - [NIELIT], Aurangabad",7.8,83250,500000,MH,MHNa7
"Dr DY Patil Vidyapeeth - [DPU], Pune",7.8,170000,500000,MH,MHDr7
"MIT School of Food Technology - [MITSoFT], Pune",7.8,175700,250000,MH,MHMI7
"Vishwakarma Institute of Technology, Pune",7.8,192044,6010000,MH,MHVi7
"MIT World Peace University - [MIT-WPU], Pune",7.8,310000,1800000,MH,MHMI7
"Shri Guru Gobind Singhji Institute of Engineering and Technology - [SGGSIE&T], Nanded",7.9,66793,208000,MH,MHSh7
"Sapkal Knowledge Hub - [SKH], Nashik",7.9,77377,220000,MH,MHSa7
"Sipna's College of Engineering and Technology, Amravati",7.9,90000,412000,MH,MHSi7
"Pune Institute of Computer Technology- [PICT], Pune",7.9,92000,420000,MH,MHPu7
"Smt Kashibai Navale College of Engineering - [SKNCOE] Vadgaon, Pune",7.9,98000,1380000,MH,MHSm7
"Modern Education Society's College of Engineering - [MESCOE], Pune",7.9,109050,400000,MH,MHMo7
"Vishwakarma Institute of Information Technology - [VIIT], Pune",7.9,164894,7200000,MH,MHVi7
"MIT-WPU Faculty of Engineering, Pune",7.9,310000,2000000,MH,MHMI7
"Government College of Engineering - [GCOEN], Nagpur",8.0,27875,650000,MH,MHGo8
"Nanasaheb Mahadik College of Engineering - [NMCE], Sangli",8.0,65000,3722000,MH,MHNa8
"Sinhgad Institute of Technology and Science -[SITS] Narhe, Pune",8.0,98000,275000,MH,MHSi8
"Progressive Education Society's Modern College of Engineering - [MCOE], Pune",8.0,104986,420000,MH,MHPr8
"Laxminarayan Institute of Technology - [LIT], Nagpur",8.0,115000,350000,MH,MHLa8
"Bharati Vidyapeeth College of Engineering For Women, Pune",8.0,126966,550000,MH,MHBh8
"K.K. Wagh Institute of Engineering Education & Research - [KKWIEER], Nashik",8.0,138225,800000,MH,MHK.8
"Pimpri Chinchwad College of Engineering - [PCCOE], Pune",8.0,146086,7250000,MH,MHPi8
"Indian Institute of Information Technology - [IIIT], Pune",8.0,235700,4350000,MH,MHIn8
"Aditya Engineering College - [AEC], Beed",8.1,120000,1200000,MH,MHAd8
"Visvesvaraya National Institute of Technology - [VNIT], Nagpur",8.1,149200,4608000,MH,MHVi8
"Shri Ramdeobaba College of Engineering and Management - [RCOEM], Nagpur",8.1,165500,5200000,MH,MHSh8
"DKTE Society's Textile and Engineering Institute - [DKTE], Kolhapur",8.2,106000,575000,MH,MHDK8
"AISSMS College of Engineering - [AISSMSCOE], Pune",8.2,136000,1300000,MH,MHAI8
"Yeshwantrao Chavan College of Engineering - [YCCE], Nagpur",8.2,163801,4200000,MH,MHYe8
"Keystone School Of Engineering, Pune",8.2,320000,125000,MH,MHKe8
"Walchand College of Engineering - [WCE], Sangli",8.3,84935,400000,MH,MHWa8
"Institute of Bioinformatics and Biotechnology - [IBB], Pune",8.3,85787,400000,MH,MHIn8
"MKSSS's Cummins College of Engineering for Women, Pune",8.3,207265,3050000,MH,MHMK8
"Symbiosis Institute of Technology - [SIT], Pune",8.3,280000,3200000,MH,MHSy8
"K. C. College of Engineering And Management Studies And Research, Thane",8.3,390000,1200000,MH,MHK.8
"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati, Pune",8.4,96000,500000,MH,MHVi8
"Ballarpur Institute of Technology - [BIT], Chandrapur",8.5,85000,1500000,MH,MHBa8
"Bajaj Institute of Technology - [BIT], Wardha",8.5,96000,450000,MH,MHBa8
"GH Raisoni College of Engineering - [GHRCE], Nagpur",8.5,161330,1200000,MH,MHGH8
"College of Engineering - [COEP], Pune",8.6,40500,1729000,MH,MHCo8
"Sharad Institute of Technology College of Engineering, Kolhapur",8.6,83000,410000,MH,MHSh8
"Tulsiramji GaikwadPatil College of Engineering and Technology - [TGPCET], Nagpur",8.6,90000,360000,MH,MHTu8
"Priyadarshini College of Engineering - [PCE], Nagpur",8.6,113000,4000000,MH,MHPr8
"Kavikulguru Institute of Technology and Science - [KITS], Nagpur",8.7,103000,460000,MH,MHKa8
"St. John College of Engineering and Management - [SJCEM], Palghar",8.9,94000,300000,MH,MHSt8
"Army Institute of Technology - [AIT], Pune",8.9,250520,3920000,MH,MHAr8
"Padmabhooshan Vasantdada Patil Institute of Technology - [PVPIT] Bavdhan, Pune",9.6,110275,800000,MH,MHPa9
