clg_name,rating,fees,pkg,STATE,CLG_ID
"Sushila Devi Bansal College, Indore",5.0,30000,280000,MP,MPSu5
"Mittal Institute of Technology - [MIT], Bhopal",5.3,50000,500000,MP,MPMi5
"Dharmsinh Desai University - [DDU], Nadiad",5.9,152000,300000,MP,MPDh5
"Sam College of Engineering and Technology - [SAMCET], Bhopal",6.1,55000,1000000,MP,MPSa6
"Dayananda Sagar Institutions - [DSI], Bangalore",6.2,246180,474000,MP,MPDa6
"Swami Vivekanand University, Sagar",6.4,44000,6000000,MP,MPSw6
"Ujjain Engineering College - [UEC], Ujjain",6.8,25151,2600000,MP,MPUj6
"Rustamji Institute of Technology - [RJIT], Gwalior",6.8,81136,1200000,MP,MPRu6
"Vindhya Institute of Technology and Science - [VITS], Satna",6.9,53000,1000000,MP,MPVi6
"University Institute of Technology, Rajiv Gandhi Proudyogiki Vishwavidyalaya - [UIT- RGPV], Bhopal",7.0,23920,12500000,MP,MPUn7
"Vikrant Group of Institutions - [VGI], Indore",7.0,45000,775000,MP,MPVi7
"Patel College of Science and Technology - [PCST], Bhopal",7.0,56000,450000,MP,MPPa7
"Mahakal Institute of Technology - [MIT], Ujjain",7.0,57000,1900000,MP,MPMa7
"Bhopal Institute of Technology & Science - [BITS], Bhopal",7.1,55000,500000,MP,MPBh7
"Technocrats Institute of Technology - [TIT] (Excellence), Bhopal",7.1,74400,1600000,MP,MPTe7
"Jayam College of Engineering and Technology - [JCET], Dharmapuri",7.1,200000,2000000,MP,MPJa7
"Jabalpur Engineering College - [JEC], Jabalpur",7.2,22300,1200000,MP,MPJa7
"Jawaharlal Nehru College of Technology - [JNCT], Rewa",7.2,48000,1800000,MP,MPJa7
"Malwa Institute of Science and Technology - [MIST], Indore",7.2,53500,1200000,MP,MPMa7
"Jai Narain College of Technology & Science - [JNCTS], Bhopal",7.2,55000,1814000,MP,MPJa7
"Gyan Ganga Institute of Technology and Sciences - [GGITS], Jabalpur",7.2,70000,360000,MP,MPGy7
"Samrat Ashok Technological Institute - [S.A.T.I], Vidisha",7.2,71300,1200000,MP,MPSa7
"Oriental University - [OU], Indore",7.3,35000,240000,MP,MPOr7
"Bhabha Engineering Research Institute - [BERI], Bhopal",7.3,44000,2900000,MP,MPBh7
"AKS University - [AKSU], Satna",7.3,60000,508000,MP,MPAK7
"Truba College of Science and Technology - [TCST], Bhopal",7.3,60000,480000,MP,MPTr7
"Mandsaur Institute of Technology- [MIT], Indore",7.3,68400,425000,MP,MPMa7
"Indian Institute of Information Technology -[IIIT], Bhopal",7.3,224500,650000,MP,MPIn7
"Gyan Ganga College of Technology - [GGCT], Jabalpur",7.4,70000,350000,MP,MPGy7
