clg_name,rating,fees,pkg,STATE,CLG_ID
"CT Group of Institutions, Jalandhar",6.4,89080,420000,PB,PBCT6
"Sri Sai Group Of Institutes - [SSGI], Pathankot",6.8,76770,1650000,PB,PBSr6
"Sant Baba Bhag Singh University - [SBBSU], Jalandhar",7.1,103300,1600000,PB,PBSa7
"Giani Zail Singh Campus College of Engineering and Technology - [GZSCCET], Bathinda",7.1,104100,1200000,PB,PBGi7
"DAV Institute of Engineering and Technology - [DAVIET], Jalandhar",7.3,80750,1000000,PB,PBDA7
"I.K. Gujral Punjab Technical University - [IKG-PTU], Jalandhar",7.4,96100,4400000,PB,PBI.7
"Amritsar Group of Colleges - [AGC], Amritsar",7.4,403024,1900000,PB,PBAm7
"Sant Longowal Institute of Engineering and Technology - [SLIET], Sangrur",7.6,81000,2485000,PB,PBSa7
"Guru Nanak Dev Engineering College - [GNDEC], Ludhiana",7.6,98689,1800000,PB,PBGu7
"Chitkara Institute of Engineering and Technology - [CIET], Patiala",7.6,174000,2700000,PB,PBCh7
"P.U. Swami Sarvanand Giri Regional Centre - [PUSSGRC], Hoshiarpur",7.7,87755,300000,PB,PBP.7
"Guru Kashi University, Bathinda",7.7,92680,480000,PB,PBGu7
"Global Group of Institutes, Amritsar",7.7,104000,1500000,PB,PBGl7
"Thapar Institute of Engineering and Technology - [Thapar University], Patiala",7.7,413600,2545000,PB,PBTh7
"Rayat Bahra Hoshiarpur Campus, Hoshiarpur",7.8,98000,250000,PB,PBRa7
"Akal University - [AU], Bathinda",7.9,92000,250000,PB,PBAk7
"CT University - [CTU], Ludhiana",7.9,154700,384000,PB,PBCT7
"Dr BR Ambedkar National Institute of Technology - [NIT], Jalandhar",7.9,164000,450000,PB,PBDr7
"Chitkara University - [CU], Patiala",7.9,164000,1400000,PB,PBCh7
"DAV University, Jalandhar",8.0,136000,5700000,PB,PBDA8
"PCTE Group of Institutes, Ludhiana",8.1,,2512000,PB,PBPC8
"Baba Banda Singh Bahadur Engineering College - [BBSBEC], Fatehgarh Sahib",8.1,90000,2800000,PB,PBBa8
"Amritsar College of Engineering and Technology - [ACET], Amritsar",8.1,403024,350000,PB,PBAm8
"Lovely Professional University - [LPU], Jalandhar",8.2,240000,3305000,PB,PBLo8
"Maharaja Ranjit Singh Punjab Technical University, Bathinda",8.3,89600,1500000,PB,PBMa8
"Sri Guru Granth Sahib World University - [SGGSWU], Fatehgarh Sahib",8.3,104000,340000,PB,PBSr8
"Shaheed Bhagat Singh State University - [SBSU], Firozpur",8.4,114434,2516000,PB,PBSh8
