clg_name,rating,fees,pkg,STATE,CLG_ID
"Poornima Institute of Engineering and Technology - [PIET], Jaipur",5.5,89250,360000,RJ,RJPo5
"Aravali Institute of Technical Studies - [AITS], Udaipur",5.8,70000,750000,RJ,RJAr5
"Geetanjali Institute of Technical Studies - [GITS], Udaipur",5.9,70500,400000,RJ,RJGe5
"Maharishi Arvind Institute of Engineering & Technology - [MAIET], Jaipur",6.0,70000,500000,RJ,RJMa6
"Anand International College of Engineering, Jaipur",6.6,85000,1000000,RJ,RJAn6
"Laxmi Devi Institute of Engineering and Technology - [LIET], Alwar",6.7,77000,570000,RJ,RJLa6
"Singhania University, Jhunjhunu",7.0,42000,626000,RJ,RJSi7
"SS College of Engineering, Udaipur",7.0,77000,500000,RJ,RJSS7
"Modern Institute of Technology and Research Centre -[MITRC], Alwar",7.1,77750,1200000,RJ,RJMo7
"Jaipur Institute of Technology Group of Institution, Jaipur",7.1,84500,900000,RJ,RJJa7
"Vivekananda Institute of Technology - [VIT], Jaipur",7.1,88000,711000,RJ,RJVi7
"Suresh Gyan Vihar University - [SGVU], Jaipur",7.1,120000,1395000,RJ,RJSu7
"Global Institute of Technology - [GIT], Jaipur",7.2,96043,3600000,RJ,RJGl7
"Raj Engineering College- [REC], Jodhpur",7.3,40000,1500000,RJ,RJRa7
"Government Engineering College, Ajmer",7.3,70500,325000,RJ,RJGo7
"Northern Institute of Engineering Technical Campus - [NIET], Alwar",7.3,77000,365000,RJ,RJNo7
"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology - [CTAE], Udaipur",7.3,315000,500000,RJ,RJCo7
"Pratap University - [PU], Jaipur",7.3,387000,1400000,RJ,RJPr7
"Shyam University, Dausa",7.4,80000,700000,RJ,RJSh7
"Government Engineering College - [ECB], Bikaner",7.5,60000,250000,RJ,RJGo7
"Compucom Institute of Information Technology and Management - [CIITM], Jaipur",7.5,77400,360000,RJ,RJCo7
"Apex University - [AU], Jaipur",7.5,120000,1200000,RJ,RJAp7
"Sir Padampat Singhania University - [SPSU], Udaipur",7.5,170000,2950000,RJ,RJSi7
"Government Engineering College, Jhalawar",7.6,60100,1363000,RJ,RJGo7
