clg_name,rating,fees,pkg,STATE,CLG_ID
"Maturi Venkata Subba Rao Engineering College - [MVSREC], Hyderabad",5.7,131500,250000,TS,TSMa5
"DRK Institute of Science and Technology - [DRKIST], Hyderabad",5.9,55000,1000000,TS,TSDR5
"Vaageswari College of Engineering, Karimnagar",6.4,55000,480000,TS,TSVa6
"Sreyas Institute of Engineering and Technology - [SIET], Hyderabad",6.4,106000,2100000,TS,TSSr6
"Sridevi Women's Engineering College - [SWEC], Hyderabad",6.4,110000,1000000,TS,TSSr6
"Ellenki College of Engineering and Technology - [ECET], Hyderabad",6.6,60000,1260000,TS,TSEl6
"St.Mary's Engineering College - [SMEC], Hyderabad",6.8,45000,2100000,TS,TSSt6
"Kshatriya College of Engineering - [KCEA], Nizamabad",6.8,55000,600000,TS,TSKs6
"G Narayanamma Institute of Technology and Science - [GNITS], Hyderabad",6.8,122000,1000000,TS,TSG 6
"Holy Mary Institute of Technology and Science -[HITS], Hyderabad",6.9,66000,1000000,TS,TSHo6
"JNTUH College of Engineering, Hyderabad",6.9,73000,350000,TS,TSJN6
"St. Mary’s Group of Institutions, Hyderabad",7.0,1250,144000,TS,TSSt7
"Nalla Narasimha Reddy Education Society's Group of Institutions - [NNRG], Hyderabad",7.0,91500,500000,TS,TSNa7
"Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam, Hyderabad",7.0,93000,2875000,TS,TSSr7
"Jyothishmathi Institute of Technology and Science - [JITS], Karimnagar",7.1,65000,240000,TS,TSJy7
"Sri Indu Institute of Engineering & Technology - [SIIET], Hyderabad",7.1,93000,416000,TS,TSSr7
"CMR Institute of Technology - [CMRIT], Hyderabad",7.1,110000,300000,TS,TSCM7
"BVRIT Hyderabad College of Engineering for Women - [BVRITH], Hyderabad",7.2,90000,2400000,TS,TSBV7
"Scient Institute of Technology, Ibrahimpatnam, Hyderabad",7.3,58000,311666,TS,TSSc7
"Teegala Krishna Reddy Engineering College, Hyderabad",7.3,80000,1600000,TS,TSTe7
"Stanley College of Engineering and Technology for Women - [SCETW], Hyderabad",7.3,81000,2600000,TS,TSSt7
"Vidya Jyothi Institute of Technology - [VJIT], Hyderabad",7.3,115000,4100000,TS,TSVi7
"Shadan College of Engineering & Technology - [SCET], Hyderabad",7.4,45000,1000000,TS,TSSh7
"Indur Institute of Engineering and Technology - [INDURIET], Siddipet",7.4,50000,500000,TS,TSIn7
"ISL Engineering College - [ISLEC], Hyderabad",7.4,65000,4000000,TS,TSIS7
"Joginpally BR Engineering College -[JBREC] Yenkapally, Hyderabad",7.4,87000,1000000,TS,TSJo7
"Nalla Malla Reddy Engineering College - [NMREC], Hyderabad",7.4,95000,360000,TS,TSNa7
"Matrusri Engineering College, Hyderabad",7.4,100000,4800000,TS,TSMa7
"KG Reddy College of Engineering and Technology - [KGRCET], Hyderabad",7.4,100000,360000,TS,TSKG7
"Malla Reddy Engineering College - [MREC], Hyderabad",7.4,103000,1005400,TS,TSMa7
"CMR Technical Campus - [CMRTC], Hyderabad",7.4,105000,450000,TS,TSCM7
"Sree Chaitanya College of Engineering - [SCCE], Karimnagar",7.5,55000,1200000,TS,TSSr7
"Neil Gogte Institute of Technology - [NGIT], Hyderabad",7.5,90000,2500000,TS,TSNe7
"Malla Reddy College of Engineering and Technology- [MRCET], Hyderabad",7.5,100000,2100000,TS,TSMa7
"Guru Nanak Institutions Technical Campus - [GNITC], Hyderabad",7.5,107000,1248000,TS,TSGu7
"Jawaharlal Nehru Technological University - [JNTUH], Hyderabad",7.5,119213,1097000,TS,TSJa7
"Sana Engineering College - [SEC], Suryapet",7.6,,1000000,TS,TSSa7
"TKR College of Engineering and Technology - [TKRCET], Hyderabad",7.6,70000,630000,TS,TSTK7
"AVN Institute of Engineering and Technology - [AVNIET], Ibrahimpatnam, Hyderabad",7.6,95000,1800000,TS,TSAV7
"CMR Group of Institutions, Hyderabad",7.6,95000,1200000,TS,TSCM7
"ACE Engineering College - [ACEEC], Hyderabad",7.6,110000,650000,TS,TSAC7
"Anurag University, Hyderabad",7.6,250000,2400000,TS,TSAn7
"AAR Mahaveer Engineering College, Hyderabad",7.7,48000,1000000,TS,TSAA7
"Aurora's Technological and Research Institute - [ATRI], Hyderabad",7.7,72000,720000,TS,TSAu7
"Sphoorthy Engineering College - [SPHN], Hyderabad",7.7,95000,1400000,TS,TSSp7
"Marri Laxman Reddy Institute of Technology & Management - [MLRITM], Hyderabad",7.7,100000,360000,TS,TSMa7
"Sreenidhi Institute of Science and Technology - [SNIST], Hyderabad",7.7,130000,2194000,TS,TSSr7
"Malla Reddy Institute of Technology and Science - [MRITS], Hyderabad",7.8,48000,235000,TS,TSMa7
"Swarna Bharathi Institute of Science and Technology - [SBIT], Khammam",7.8,66700,150000,TS,TSSw7
"Deccan College of Engineering and Technology - [DCET], Hyderabad",7.8,72000,186000,TS,TSDe7
"Bhoj Reddy Engineering College for Women, Hyderabad",7.8,75000,1020000,TS,TSBh7
"St Martin's Engineering College - [SMEC], Hyderabad",7.8,100000,620000,TS,TSSt7
"Geethanjali College of Engineering and Technology - [GCET] Keesara, Hyderabad",7.8,120000,1466000,TS,TSGe7
"Vasavi College of Engineering, Hyderabad",7.8,130000,4043000,TS,TSVa7
"Hyderabad Institute of Technology and Management - [HITAM], Hyderabad",7.9,103000,2050000,TS,TSHy7
"Mahatma Gandhi Institute of Technology - [MGIT], Hyderabad",7.9,145976,5500000,TS,TSMa7
"JNTUH College of Engineering Manthani - [JNTUHCEM], Karimnagar",8.0,35000,211000,TS,TSJN8
"Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET], Hyderabad",8.0,138500,30000000,TS,TSGo8
"K L University - [KLH], Hyderabad",8.0,265000,630000,TS,TSK 8
"JNTUH College of Engineering Sultanpur - [JNTUHCES], Sangareddy",8.1,40500,920000,TS,TSJN8
"Keshav Memorial Institute of Technology - [KMIT], Hyderabad",8.1,111500,560000,TS,TSKe8
"Vardhaman College of Engineering - [VCE], Hyderabad",8.1,140000,2800000,TS,TSVa8
"Mahaveer Institute of Science and Technology- [MIST], Hyderabad",8.2,66000,280000,TS,TSMa8
"Institute of Aeronautical Engineering - [IARE], Hyderabad",8.2,101000,1957000,TS,TSIn8
"MLR Institute of Technology - [MLRIT], Hyderabad",8.2,110000,1500000,TS,TSML8
"Chaitanya Bharathi Institute of Technology - [CBIT], Hyderabad",8.2,186733,850000,TS,TSCh8
"Kamala Institute of Technology & Science- [KITS], Karimnagar",8.3,80000,350000,TS,TSKa8
"Muffakham Jah College of Engineering & Technology - [MJCET], Hyderabad",8.3,110000,560000,TS,TSMu8
"GITAM, Hyderabad",8.3,329500,5800000,TS,TSGI8
"International Institute of Information Technology - [IIIT], Hyderabad",8.3,360000,2523000,TS,TSIn8
"Woxsen University, Hyderabad",8.3,372500,20000000,TS,TSWo8
"University College of Engineering, Osmania University - [UCE], Hyderabad",8.4,35000,4600000,TS,TSUn8
"Sai Spurthi Institute of Technology - [SSIT], Khammam",8.4,62000,320000,TS,TSSa8
"Siddhartha Institute of Technology and Sciences - [SITS], Hyderabad",8.5,63000,325000,TS,TSSi8
"BV Raju Institute of Technology - [BVRIT], Hyderabad",8.5,120000,1900000,TS,TSBV8
"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET], Hyderabad",8.5,131000,766000,TS,TSVa8
"ICFAI Foundation for Higher Education - [IFHE], Hyderabad",8.5,280000,570000,TS,TSIC8
"Mahindra University, Hyderabad",8.5,470000,2700000,TS,TSMa8
"IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad",8.6,241550,430000,TS,TSII8
"CMR Engineering College - [CMREC], Hyderabad",8.7,75000,490000,TS,TSCM8
"Malla Reddy College of Engineering for Women - [MRCEW], Hyderabad",8.8,60000,11200000,TS,TSMa8
"Birla Institute of Technology and Science - [BITS], Hyderabad",9.0,571575,3200000,TS,TSBi9
