clg_name,rating,fees,pkg,STATE,CLG_ID
"Maya Group of Colleges, Dehradun",5.6,95800,420000,UK,UKMa5
"Haridwar University, Roorkee",6.6,137000,500000,UK,UKHa6
"Graphic Era Hill University - [GEHU], Dehradun",7.4,275600,4000000,UK,UKGr7
"Institute of Technology Gopeshwar - [ITG], Chamoli",7.5,70800,500000,UK,UKIn7
"Shivalik College of Engineering - [SCE], Dehradun",7.5,103900,350000,UK,UKSh7
"BFIT Group of Institutions - [BFIT], Dehradun",7.6,70000,310000,UK,UKBF7
"Women Institute of Technology - [WIT], Dehradun",7.6,75500,350000,UK,UKWo7
"Uttaranchal University, Dehradun",7.6,244000,4331000,UK,UKUt7
"Swami Rama Himalayan University - [SRHU], Dehradun",7.6,244000,775000,UK,UKSw7
"Bipin Tripathi Kumaon Institute of Technology, Almora",7.8,71150,400000,UK,UKBi7
"DIT University - [DIT], Dehradun",7.8,200000,4500000,UK,UKDI7
"Himgiri Zee University - [HZU], Dehradun",7.9,95000,4500000,UK,UKHi7
"Nanhi Pari Seemant Engineering Institute - [NPSEI], Pithoragarh",8.1,60400,1000000,UK,UKNa8
"University of Petroleum and Energy Studies - [UPES], Dehradun",8.1,352000,950000,UK,UKUn8
"Dev Bhoomi Uttarakhand University - [DBUU], Dehradun",8.2,150000,500000,UK,UKDe8
"Graphic Era University, School of Engineering and Technology - [GEU], Dehradun",8.2,236400,15100000,UK,UKGr8
"Tula's Institute, Dehradun",8.3,110600,1800000,UK,UKTu8
"Graphic Era University - [GEU], Dehradun",8.3,323400,750000,UK,UKGr8
"ICFAI University, Dehradun",8.3,480000,3200000,UK,UKIC8
"JB Institute of Technology - [JBIT], Dehradun",9.1,92000,1400000,UK,UKJB9
