clg_name,rating,fees,pkg,STATE,CLG_ID
"Camellia Institute of Technology and Management - [CITM], Hooghly",5.0,101000,350000,WB,WBCa5
"Dharmsinh Desai University - [DDU], Nadiad",5.9,152000,300000,WB,WBDh5
"Neotia Institute of Technology Management and Science - [NITMAS], Kolkata",6.3,130200,1800000,WB,WBNe6
"Techno International New Town - [TINT], Kolkata",6.3,144800,400000,WB,WBTe6
"Camellia Institute of Technology - [CIT], Kolkata",6.4,101500,130000,WB,WBCa6
"Greater Kolkata College of Engineering & Management - [GKCEM], Baruipur",6.5,85000,350000,WB,WBGr6
"Adamas Institute of Technology - [AIT], Kolkata",6.6,109600,600000,WB,WBAd6
"BP Poddar Institute of Management and Technology, Kolkata",6.7,115200,200000,WB,WBBP6
"Birbhum Institute of Engineering and Technology - [BIET], Birbhum",6.8,70700,320000,WB,WBBi6
"Future Institute of Engineering and Management - [FIEM], Kolkata",6.8,80000,1800000,WB,WBFu6
"Ideal Institute of Engineering - [IIE], Nadia",7.0,86800,675000,WB,WBId7
"Government College of Engineering and Ceramic Technology - [GCECT], Kolkata",7.1,17950,330000,WB,WBGo7
"Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex - [SURTECH], Kolkata",7.2,436403,300000,WB,WBDr7
"Om Dayal Group of Institutions, Kolkata",7.3,86500,1200000,WB,WBOm7
"Swami Vivekananda Institute of Science and Technology - [SVIST], Kolkata",7.3,99000,240000,WB,WBSw7
"Meghnad Saha Institute of Technology - [MSIT], Kolkata",7.3,144800,700000,WB,WBMe7
"Seacom Engineering College, Howrah",7.3,250000,453000,WB,WBSe7
"Dumkal Institute of Engineering & Technology- [DIET], Murshidabad",7.4,59500,300000,WB,WBDu7
"Abacus Institute of Engineering and Management, Hooghly",7.4,80500,1400000,WB,WBAb7
"Techno India University, Kolkata",7.4,89200,750000,WB,WBTe7
"Bankura Unnayani Institute of Engineering - [BUIE], Bankura",7.4,94750,320000,WB,WBBa7
"Pailan College of Management and Technology - [PCMT], Kolkata",7.4,97500,420000,WB,WBPa7
"Surendra Institute of Engineering and Management - [SIEM], Darjeeling",7.4,106000,600000,WB,WBSu7
"Supreme Knowledge Foundation Group of Institutions - [SKFGI], Hooghly",7.4,113700,450000,WB,WBSu7
"Ramkrishna Mahato Government Engineering College, Purulia",7.5,12220,1000000,WB,WBRa7
"JIS University, Kolkata",7.5,118600,350000,WB,WBJI7
"Ghani Khan Choudhury Institute Of Engineering and Technology -[GKCIET], Malda",7.6,27170,400000,WB,WBGh7
