ID,Name
1,Agar Malwa
2,Alirajpur
3,Anuppur
4,Ashoknagar
5,Balaghat
6,Barwan
7,Betul
8,Bhind
9,Bhopal
10,Burhanpur
11,Chhatarpur
12,Chhindwara
13,Damoh
14,Datia
15,Dewas
16,Dhar
17,Dindori
18,East Nimar
19,Guna
20,Gwalior
21,Harda
22,Hoshangabad
23,Indore
24,Jabalpur
25,Jhabua
26,Katni
27,Mandla
28,Mandsaur
29,Morena
30,Narsinghpur
31,Neemuch
32,Niwari
33,Panna
34,Raisen
35,Rajgarh
36,Ratlam
37,Rewa
38,Sagar
39,Satna
40,Sehore
41,Seoni
42,Shahdol
43,Shajapur
44,Sheopur
45,Shivpuri
46,Sidhi
47,Singrauli
48,Tikamgarh
49,Ujjain
50,Umaria
51,Vidisha
52,West Nimar
