No.,Name 
1,Adilabad
2,Bhadradri Kothagudem
3,Hyderabad
4,Jagitial
5,Jangaon
6,Jayashankar Bhupalapally
7,Jogulamba Gadwal
8,Kamareddy
9,Karimnagar
10,Khammam
11,Kumarambheem Asifabad
12,Mahabubabad
13,Mahabubnagar
14,Mancherial district
15,Medak
16,Medchal–Malkajgiri
17,Mulugu
18,Nagarkurnool
19,Narayanpet
20,Nalgonda
21,Nirmal
22,Nizamabad
23,Peddapalli
24,Rajanna Sircilla
25,Ranga Reddy
26,Sangareddy
27,Siddipet
28,Suryapet
29,Vikarabad
30,Wanaparthy
31,Warangal 
32,Warangal Urban
33,Yadadri Bhuvanagiri
