clg_name,fees,avg_pkg,rating
"IIT Madras - Indian Institute of Technology - [IITM], Chennai","₹ 2,09,550","₹ 21,48,000",8.7 / 10
"IIT Delhi - Indian Institute of Technology [IITD], New Delhi","₹ 2,54,650","₹ 1,98,00,000",8.7 / 10
"Woxsen University, Hyderabad","₹ 3,72,500","₹ 2,00,00,000",8.3 / 10
"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai","₹ 2,29,300","₹ 9,09,000",8.8 / 10
"RNS Institute of Technology - [RNSIT], Bangalore","₹ 1,16,765","₹ 17,00,000",7.7 / 10
"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur","₹ 2,23,600","₹ 21,82,000",8.7 / 10
"Parul University, Vadodara","₹ 1,37,800","₹ 3,67,00,000",8.1 / 10
"IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur","₹ 2,29,200","₹ 5,50,000",8.8 / 10
"JK Lakshmipat University - [JKLU], Jaipur","₹ 2,75,000","₹ 56,00,000",8.1 / 10
"IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee","₹ 2,30,100","₹ 2,60,00,000",8.7 / 10
"Sir Padampat Singhania University - [SPSU], Udaipur","₹ 1,70,000","₹ 29,50,000",7.5 / 10
"BITS Pilani (Pilani Campus), Pilani","₹ 5,71,575","₹ 1,90,00,000",8.8 / 10
"New Horizon College of Engineering - [NHCE], Bangalore","₹ 10,00,000","₹ 8,07,000",8.6 / 10
"IIT Guwahati - Indian Institute of Technology - [IITG], Guwahati","₹ 2,19,250","₹ 19,75,000",8.7 / 10
"GSFC University, Vadodara","₹ 1,16,250","₹ 1,30,00,000",8.1 / 10
"IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad","₹ 2,41,550","₹ 4,30,000",8.6 / 10
"MIT World Peace University - [MIT-WPU], Pune","₹ 3,10,000","₹ 18,00,000",7.8 / 10
"College of Engineering, Anna University - [CEG], Chennai","₹ 31,060","₹ 30,37,000",8.4 / 10
"CMR University - [CMRU], Bangalore","₹ 2,25,000","₹ 60,75,000",7.4 / 10
"NIT Trichy, Tiruchirappalli","₹ 1,78,150","₹ 30,00,000",8.4 / 10
"Mody University, Sikar","₹ 2,66,000","₹ 2,40,00,000",8.5 / 10
"IIT BHU - Indian Institute of Technology, Varanasi","₹ 2,28,315","₹ 20,07,000",8.5 / 10
"RNB Global University - [RNBGU], Bikaner","₹ 1,15,000","₹ 63,78,000",8 / 10
"Institute of Chemical Technology - [ICT], Mumbai","₹ 89,100","₹ 7,00,000",8.6 / 10
"Bennett University, Greater Noida","₹ 4,25,000","₹ 51,36,000",8.8 / 10
"IIT Indore - Indian Institute of Technology - [IITI], Indore","₹ 2,33,900","₹ 4,30,000",8.5 / 10
"Jadavpur University - [JU], Kolkata","₹ 10,000","₹ 11,00,000",8.5 / 10
"ISM Dhanbad - Indian Institute of Technology - [IITISM], Dhanbad","₹ 2,40,250","₹ 40,00,000",8.5 / 10
"Rajiv Gandhi Institute of Petroleum Technology - [RGIPT], Amethi","₹ 2,71,600","₹ 8,23,000",8.5 / 10
"National Institute of Technology - [NIT], Rourkela","₹ 1,78,000","₹ 13,00,000",8.3 / 10
"East Point Group of Institutions - [EPGI], Bangalore","₹ 2,50,000","₹ 1,20,00,000",7.3 / 10
"IIT Bhubaneswar - Indian Institute of Technology - [IITBBS], Bhubaneswar","₹ 2,21,290","₹ 3,50,000",8.3 / 10
