clg_name,rating,fees,pkg
"Sardar Raja College of Engineering - [SRCE], Tirunelveli",4.3,50000,1200000
"Sudharsan Engineering College - [SEC], Pudukkottai",4.4,55000,2000000
"Loknayak Jai Prakash Institute Of Technology - [LNJPIT], Chapra",4.7,,1000000
"Ahalia School of Engineering and Technology - [ASET], Palakkad",4.7,78000,400000
"Saffrony Institute of Technology & S.P.B. Patel Engineering College, Ahmedabad",4.7,81150,300000
"Sarabhai Institute of Science & Technology - [SIST] Vellanad, Thiruvananthapuram",4.8,50000,440000
"Sushila Devi Bansal College, Indore",5.0,30000,280000
"Camellia Institute of Technology and Management - [CITM], Hooghly",5.0,101000,350000
"Government Engineering College - [GEC], Rajkot",5.1,1500,2200000
"Nandha College of Technology - [NCT], Erode",5.1,50000,800000
"Mahatma Gandhi Mission's College of Engineering and Technology - [MGMCET], Navi Mumbai",5.1,68000,718000
"Karavali Institute of Technology - [KIT], Mangalore",5.1,80000,1000000
"Mittal Institute of Technology - [MIT], Bhopal",5.3,50000,500000
"Achutha Institute of Technology - [AIT], Bangalore",5.4,,270000
"Amiraj College of Engineering and Technology- [ACET], Ahmedabad",5.4,30000,300000
"Delhi Institute of Engineering and Technology - [DIET], Meerut",5.4,55000,300000
"College of Engineering Muttathara, Thiruvananthapuram",5.4,56705,1140000
"KSR College of Engineering, Namakkal",5.4,60000,500000
"Arulmigu Meenakshi Amman College of Engineering - [AMACE], Kanchipuram",5.4,160000,1800000
"University of Kerala, University College Of Engineering Kariavattom, Thiruvananthapuram",5.5,36750,436000
"Anna University of Technology, Madurai",5.5,43810,600000
"KJ Institute of Engineering and Technology - [KJIT], Vadodara",5.5,60000,540000
"Poornima Institute of Engineering and Technology - [PIET], Jaipur",5.5,89250,360000
"NBN Sinhgad School of Engineering - [NBNSSOE], Ambegaon",5.5,100000,1000000
"Amrutvahini College of Engineering - [AVCOE], Ahmednagar",5.5,120000,200000
"Sri Manakula Vinayagar Engineering College, Pondicherry",5.6,59500,450000
"Maya Group of Colleges, Dehradun",5.6,95800,420000
"HI-Tech Institute of Engineering and Technology - [HIET], Ghaziabad",5.6,103000,1200000
"Maharaja Institute of Technology Thandavapura - [MITT], Mysore",5.6,129000,510000
"ILM College of Engineering and Technology - [ILMCET], Ernakulam",5.6,274000,235000
"Krishnasamy College of Engineering and Technology - [KCET], Cuddalore",5.7,50000,500000
"Alpha College of Engineering, Chennai",5.7,50000,1450000
"Bharathidasan Engineering College - [BEC], Vellore",5.7,55000,280000
"Maturi Venkata Subba Rao Engineering College - [MVSREC], Hyderabad",5.7,131500,250000
"Tamilnadu College of Engineering - [TNCE], Coimbatore",5.7,200000,466000
"Appa Institute of Engineering and Technology - [AIET], Gulbarga",5.8,,1650000
"Aravali Institute of Technical Studies - [AITS], Udaipur",5.8,70000,750000
"Anil Neerukonda Institute of Technology & Sciences - [ANITS], Visakhapatnam",5.8,76300,890000
"Gandhi Institute for Technology - [GIFT], Bhubaneswar",5.8,81000,1200000
"NETES Institute of Technology and Science - [NITS] Mirza, Kamrup",5.8,90000,300000
"DRK Institute of Science and Technology - [DRKIST], Hyderabad",5.9,55000,1000000
"Geetanjali Institute of Technical Studies - [GITS], Udaipur",5.9,70500,400000
"Dharmsinh Desai University - [DDU], Nadiad",5.9,152000,300000
"Sapthagiri College of Engineering, Bangalore",5.9,235000,712000
"Supaul College of Engineering - [SCE], Supaul",6.0,,1400000
"Government Engineering College, Valsad",6.0,1500,500000
"Goa College of Engineering - [GEC], Ponda",6.0,59500,510000
"The Kavery College of Engineering - [KCE], Salem",6.0,60000,220000
"Maharishi Arvind Institute of Engineering & Technology - [MAIET], Jaipur",6.0,70000,500000
"Padmanava College of Engineering - [PCE], Rourkela",6.0,79500,216000
"Parul Institute of Engineering and Technology - [PIET], Vadodara",6.0,90300,320000
"College of Engineering - [CEAL] Attingal, Thiruvananthapuram",6.1,42952,450000
"Sam College of Engineering and Technology - [SAMCET], Bhopal",6.1,55000,1000000
"Talla Padmavathi College of Engineering - [TPCE], Warangal",6.1,61000,1200000
"AISSMS Institute of Information Technology, Pune",6.1,118751,4800000
"Adarsha College of Engineering - [ACE], Angul",6.1,374000,140000
"Pavai College of Technology - [PCT], Namakkal",6.2,40000,360000
"Azad Institute of Engineering and Technology - [AIET], Lucknow",6.2,56000,1150000
"IIMT University - [IIMTU], Meerut",6.2,73000,3726000
"Shambhunath Institute of Engineering and Technology - [SIET], Allahabad",6.2,79400,1000000
"SVERI, College of Engineering, Pandharpur",6.2,92000,1100000
"Uttar Pradesh Textile Technology Institute - [UPTTI], Kanpur",6.2,103900,527000
"Government College of Engineering, Keonjhar",6.2,140000,280000
"Dayananda Sagar Institutions - [DSI], Bangalore",6.2,246180,474000
"Kakatiya University College of Engineering and Technology -[KUCE&T], Warangal",6.3,35000,200000
"Sasi Institute of Technology & Engineering - [SITE], Tadepalligudem",6.3,45700,240000
"G. Pullaiah College of Engineering and Technology - [GPCET], Kurnool",6.3,48000,1175000
"Roland Institute of Technology - [RIT], Berhampur",6.3,55000,1200000
"Dr. Subhash University, Junagadh",6.3,77175,450000
"Konkan Gyanpeeth College of Engineering - [KGCE], Karjat",6.3,92000,315000
"Jain College of Engineering - [JCE], Belgaum",6.3,110000,1200000
"Skyline Institute of Engineering and Technology - [SIET], Greater Noida",6.3,110000,640000
"Sri Siddhartha Institute of Technology - [SSIT], Tumkur",6.3,111796,1000000
"Neotia Institute of Technology Management and Science - [NITMAS], Kolkata",6.3,130200,1800000
"Techno International New Town - [TINT], Kolkata",6.3,144800,400000
"Bhubaneswar College of Engineering - [BCE], Khorda",6.3,180000,2100000
"Adichunchanagiri Institute of Technology- [AIT], Chikmagalur",6.3,235000,4200000
"V V College of Engineering, Tirunelveli",6.4,30000,360000
"Trinity College of Engineering, Thiruvananthapuram",6.4,40000,4600000
"Swami Vivekanand University, Sagar",6.4,44000,6000000
"Vaageswari College of Engineering, Karimnagar",6.4,55000,480000
"Moodalakatte Institute of Technology - [MITK], Udupi",6.4,70000,192000
"CT Group of Institutions, Jalandhar",6.4,89080,420000
"Lourdes Matha College of Science and Technology, Thiruvananthapuram",6.4,100400,300000
"Camellia Institute of Technology - [CIT], Kolkata",6.4,101500,130000
"Sreyas Institute of Engineering and Technology - [SIET], Hyderabad",6.4,106000,2100000
"Sridevi Women's Engineering College - [SWEC], Hyderabad",6.4,110000,1000000
"Kalasalingam Institute of Technology - [KIT], Krishnankovil",6.4,200000,300000
"Lenora College of Engineering, East Godavari",6.5,35000,400000
"College of Engineering and Management - [CEM] Punnapara, Alappuzha",6.5,35000,240000
"Government College of Engineering and Technology - [GCET], Jammu",6.5,42920,730000
"Ramachandra College of Engineering - [RCE], Eluru",6.5,45900,2700000
"Velalar College of Engineering and Technology -[VCET], Erode",6.5,50000,411000
"Arunai Engineering College - [AEC], Tiruvannamalai",6.5,50000,850000
"Eswar College of Engineering, Narasaraopet",6.5,50200,240000
"Excel College of Engineering and Technology, Namakkal",6.5,55000,350000
"Godavari Institute of Engineering and Technology - [GIET] Rajahmundry, East Godavari",6.5,58700,303000
"Lendi Institute of Engineering and Technology, Vizianagaram",6.5,59900,5023000
"Er Perumal Manimekalai College of Engineering, Hosur",6.5,65000,220000
"ABMSP's Anantrao Pawar College of Engineering & Research - [APCOER], Pune",6.5,67000,600000
"Gandhi Institute for Education and Technology - [GIET], Khorda",6.5,71000,800000
"Greater Kolkata College of Engineering & Management - [GKCEM], Baruipur",6.5,85000,350000
"Vivekananda College of Engineering & Technology - [VCET], Puttur",6.5,87100,240000
"Nagpur Institute of Technology - [NIT], Nagpur",6.5,107000,2400000
"Jayawantrao Sawant College of Engineering- [JSCOE], Pune",6.5,112500,4840000
"IEC University Baddi - [ICEU], Solan",6.5,118600,2800000
"K.S. School of Engineering and Management- [KSSEM], Bangalore",6.5,125000,1240000
"Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon, Pune",6.5,138060,1200000
"Cambridge Institute of Technology - [CiTech], Bangalore",6.5,150000,300000
"Brindavan Group of Institutions, Bangalore",6.5,160000,2000000
"Industrial and Management Engineering, IIT Kanpur- [IME IIT], Kanpur",6.6,,5000000
"Government Engineering College, Patan",6.6,1500,330000
"Government College of Engineering - [GCE], Bodinayakanur",6.6,9220,150000
"Government Engineering College -[GEC], Gandhinagar",6.6,18000,500000
"Vignan's Nirula Institute of Technology and Science for Women -[VNIW], Guntur",6.6,35000,180000
"Shri Rawatpura Sarkar University - [SRU], Raipur",6.6,45200,2000000
"Institute of Technology & Management - [ITM], Aligarh",6.6,55000,320000
"Ellenki College of Engineering and Technology - [ECET], Hyderabad",6.6,60000,1260000
"Rawal Institutions, Faridabad",6.6,70000,240000
"Arvind Gavali College of Engineering - [AGCE], Satara",6.6,72500,470000
"HMS Institute of Technology - [HMSIT], Tumkur",6.6,80000,3360000
"Nitra Technical Campus - [NTC], Ghaziabad",6.6,83500,400000
"Anand International College of Engineering, Jaipur",6.6,85000,1000000
"PDEA College of Engineering Manjari, Pune",6.6,90000,1200000
"Ghousia College of Engineering - [GCE], Ramanagar",6.6,100000,1000000
"Adamas Institute of Technology - [AIT], Kolkata",6.6,109600,600000
"Kashi Institute of Technology - [KIT], Varanasi",6.6,110000,800000
"Bangalore Group of Institutions - [BGI], Bangalore",6.6,120000,343000
"Sri Venkateshwara College of Engineering - [SVCE], Bangalore",6.6,125000,500000
"Hindusthan Institute of Technology - [HITECH], Coimbatore",6.6,125000,400000
"Haridwar University, Roorkee",6.6,137000,500000
"M S Engineering College - [MSEC], Bangalore",6.6,150000,360000
"Dhanalakshmi College of Engineering - [DCE], Chennai",6.6,200000,600000
"Hindustan Institute of Technology and Science - [HITS], Chennai",6.6,229500,5300000
"East West Institute of Technology - [EWIT], Bangalore",6.7,,7000000
"Amity School of Engineering & Technology - [ASET], New Delhi",6.7,,325000
"Dr. B R Ambedkar Institute of Technology, Port Blair",6.7,12083,550000
"Calicut University Institute of Engineering Technology - [CUIET], Malappuram",6.7,42600,250000
"Anna University of Technology, Tirunelveli",6.7,43810,1600000
"Malla Reddy Institute of Technology - [MRIT], Secunderabad",6.7,45000,300000
"Sree Narayana Guru Institute of Science and Technology - [SNGIST], Ernakulam",6.7,50000,1350000
"Arignar Anna Institute of Science and Technology, Chennai",6.7,55000,1650000
"Kingston Engineering College, Katpadi",6.7,55000,1200000
"Vishnu Institute of Technology - [VIT], Bhimavaram",6.7,60000,1000000
"Mangalam College of Engineering Ettumanoor - [MLM], Kottayam",6.7,75000,939795
"Laxmi Devi Institute of Engineering and Technology - [LIET], Alwar",6.7,77000,570000
"College of Engineering Bhubaneswar - [COEB], Bhubaneswar",6.7,81000,508000
"University Institute of Technology, University Of Burdwan - [UIT], Bardhaman",6.7,81200,570000
"Orissa Engineering College - [OEC], Bhubaneswar",6.7,86500,224920
"Thangal Kunju Musaliar Institute of Technology - [TKM], Kollam",6.7,91350,450000
"MET Bhujbal Knowledge City, Nashik",6.7,100000,1200000
"PDM University, Bahadurgarh, Bahadurgarh",6.7,100200,1540000
"Indira College of Engineering & Management - [ICEM], Pune",6.7,104000,1600000
"BP Poddar Institute of Management and Technology, Kolkata",6.7,115200,200000
"Christ College of Engineering and Technology, Pondicherry",6.7,116000,1900000
"Drs. Kiran and Pallavi Patel Global University, Vadodara",6.7,117600,526000
"SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala, Pune",6.7,125170,340000
"Kalpataru Institute of Technology - [KIT], Tiptur",6.7,127720,400000
"RIMT University, Gobindgarh",6.7,135000,5900000
"SJB Institute of Technology - [SJBIT], Bangalore",6.7,135000,3500000
"Bangalore Technological Institute - [BTI], Bangalore",6.7,140000,1750000
"Girijananda Chowdhury Institute of Management & Technology - [GIMT], Guwahati",6.7,144000,360000
"RV Institute of Technology - [RVIT], Bijnor",6.7,230800,250000
"GD Goenka University - [GDGU], Gurgaon",6.7,300000,800000
"GMR Institute of Technology - [GMRIT], Rajam",6.7,303000,395220
"Government Engineering College - [GECI], Idukki",6.8,19800,2500000
"Al Ameen Engineering College, Erode",6.8,25000,816000
"Ujjain Engineering College - [UEC], Ujjain",6.8,25151,2600000
"St.Mary's Engineering College - [SMEC], Hyderabad",6.8,45000,2100000
"Rohini College of Engineering and Technology - [RCET], Kanyakumari",6.8,50000,2800000
"Cheran College of Engineering, Karur",6.8,50000,450000
"Sri Vellappally Natesan College of Engineering - [SVNCE] Mavelikara, Alappuzha",6.8,50000,300000
"Kshatriya College of Engineering - [KCEA], Nizamabad",6.8,55000,600000
"Prabhat Engineering College - [PEC], Kanpur",6.8,55000,400000
"Usha Rama College of Engineering and Technology - [URCE], Krishna",6.8,55200,737000
"Mohamed Sathak Engineering College - [MSEC], Ramanathapuram",6.8,60000,800000
"T.J.S. Engineering College, Thiruvallur",6.8,60000,350000
"Thiruvalluvar College of Engineering and Technology - [TCET], Vandavasi",6.8,60000,378260
"Raghu Institute of Technology - [RIT], Visakhapatnam",6.8,61000,1200000
"Surya Group of Institutions - [SGI], Lucknow",6.8,62500,750000
"Anjalai Ammal Mahalingam Engineering College - [AAMEC], Thiruvarur",6.8,64005,1200000
"Siddhant College of Engineering - [SCOE] Sudumbare, Pune",6.8,65000,300000
"Birbhum Institute of Engineering and Technology - [BIET], Birbhum",6.8,70700,320000
"Galaxy Global Group of Institutions - [GGGI], Ambala",6.8,72130,900000
"Hindustan Institute of Technology and Management - [HITM], Ambala",6.8,75000,572000
"Sri Sai Group Of Institutes - [SSGI], Pathankot",6.8,76770,1650000
"C. U. Shah University, Wadhwan",6.8,77800,500000
"Future Institute of Engineering and Management - [FIEM], Kolkata",6.8,80000,1800000
"Rustamji Institute of Technology - [RJIT], Gwalior",6.8,81136,1200000
"Bharath Niketan Engineering College - [BNEC], Aundipatti",6.8,87000,276000
"St Joseph Engineering College - [SJEC], Mangalore",6.8,88130,325000
"Shridhar University, Pilani",6.8,99300,1073000
"Career Point University - [CPU], Hamirpur",6.8,105000,350000
"Trident Academy of Technology, Bhubaneswar",6.8,108300,998000
"Indus International University - [IIU], Una",6.8,110000,2100000
"G Narayanamma Institute of Technology and Science - [GNITS], Hyderabad",6.8,122000,1000000
"Kunjali Marakkar School of Marine Engineering - [KMSME], Kochi",6.8,186040,240000
"Annai College of Engineering and Technology - [ACET], Kumbakonam",6.8,280000,360000
"Himalayan University - [HU], Itanagar",6.9,,1038333
"Indian Institute of Handloom Technology - [IIHT], Salem",6.9,,520000
"SSM College of Engineering - [SSMCE], Namakkal",6.9,30000,394000
"Sri Vasavi Institute of Engineering and Technology - [SVIET], Krishna",6.9,30200,1200000
"Siddharth Institute of Engineering & Technology - [SIETK], Puttur",6.9,37000,180000
"Jawahar Engineering College, Chennai",6.9,50000,240000
"Royal College of Engineering and Technology - [RCET], Thrissur",6.9,50000,320000
"Dr. C.V. Raman University - [CVRU], Bilaspur",6.9,50700,1150000
"Vindhya Institute of Technology and Science - [VITS], Satna",6.9,53000,1000000
"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Chennai",6.9,55000,1400000
"Jawaharlal Nehru Government Engineering College - [JNGEC], Sundarnagar",6.9,55000,3700000
"Yenepoya Institute of Technology - [YIT], Mangalore",6.9,58806,325000
"Suddhananda Engineering and Research Centre - [SERC], Bhubaneswar",6.9,60000,700000
"Akshaya College of Engineering and Technology-[ACET], Coimbatore",6.9,65000,300000
"Muslim Association College of Engineering - [MACE], Thiruvananthapuram",6.9,65000,210000
"Meerut International Institute of Technology - [MIIT], Meerut",6.9,65500,420000
"Holy Mary Institute of Technology and Science -[HITS], Hyderabad",6.9,66000,1000000
"Techno India - Banipur, Paragana",6.9,72000,1000000
"JNTUH College of Engineering, Hyderabad",6.9,73000,350000
"ACE College of Engineering, Thiruvananthapuram",6.9,75000,360000
"Technology Education and Research Integrated Institute - [TERII], Kurukshetra",6.9,79500,650000
"Malla Reddy Engineering College for Women - [MRECW], Secunderabad",6.9,87000,473000
"Angadi Institute of Technology and Management - [AITM], Belgaum",6.9,90000,1000000
"Indian Institute of Carpet Technology - [IICT], Bhadohi",6.9,94200,1620000
"Brahmdevdada Mane Institute of Technology - [BMIT], Solapur",6.9,98000,1130000
"Rayat Bahra University, Mohali",6.9,100000,1683000
"Roorkee Institute of Technology - [RIT], Roorkee",6.9,107900,485000
"Rajarshi Shahu College of Engineering - [RSCOE] Tathawade, Pune",6.9,113000,150000
"United Group of Institutions - [UGI], Allahabad",6.9,118025,1665000
"Chhatrapati Shivaji Maharaj University - [CSMU], Navi Mumbai",6.9,122100,300000
"Panipat Institute of Engineering & Technology - [PIET], Panipat",6.9,154000,180000
"Christ University, Faculty of Engineering, Bangalore",6.9,170000,300000
"Geeta University, Panipat",6.9,170000,800000
"St. Mary’s Group of Institutions, Hyderabad",7.0,1250,144000
"University Institute of Technology, Rajiv Gandhi Proudyogiki Vishwavidyalaya - [UIT- RGPV], Bhopal",7.0,23920,12500000
"Government College of Engineering - [GCE], Chandrapur",7.0,25293,290000
"Chalapathi Institute of Technology - [CIT], Guntur",7.0,35000,360000
"Singhania University, Jhunjhunu",7.0,42000,626000
